image_id,image_path,label_path,source_id,frame_index,timestamp_seconds,split,label_status,box_count,class_counts,annotation_formats,content_sha256
3bde0fc6f92870109391f8ddea3cf95b63a5b51976ac1556a25db94fccb241cd,train/images/DJI_20250516071323_0341_D_frame_00001_jpg.rf.d5e6d7504b79c06161088dac6efbdaed.jpg,train/labels/DJI_20250516071323_0341_D_frame_00001_jpg.rf.d5e6d7504b79c06161088dac6efbdaed.txt,DJI_20250516071323_0341_D,1,0.5,train,labeled,85,1:20;2:20;3:44;4:1,bbox:6;polygon:79,3bde0fc6f92870109391f8ddea3cf95b63a5b51976ac1556a25db94fccb241cd
048a4a396cc2683d15237a3c4be216df82feea055aa6a59521baf57764e01d12,train/images/DJI_20250516071323_0341_D_frame_00002_jpg.rf.1d86b214b357045d8c1a0dc6ee97f80d.jpg,train/labels/DJI_20250516071323_0341_D_frame_00002_jpg.rf.1d86b214b357045d8c1a0dc6ee97f80d.txt,DJI_20250516071323_0341_D,2,1.0,train,labeled,88,1:18;2:24;3:44;4:2,bbox:8;polygon:80,048a4a396cc2683d15237a3c4be216df82feea055aa6a59521baf57764e01d12
26b30e44262fcb2a792bc1caabd0a4fa9e54314594f2b516e555593ca01bb5fb,train/images/DJI_20250516071323_0341_D_frame_00003_jpg.rf.8eafc4edc863a5b2623582a09381b783.jpg,train/labels/DJI_20250516071323_0341_D_frame_00003_jpg.rf.8eafc4edc863a5b2623582a09381b783.txt,DJI_20250516071323_0341_D,3,1.5,train,labeled,82,1:17;2:20;3:44;4:1,bbox:5;polygon:77,26b30e44262fcb2a792bc1caabd0a4fa9e54314594f2b516e555593ca01bb5fb
198e9f6d681de51c32e13360cff16865996ee8a00f868bbbb027b0c0f0737535,train/images/DJI_20250516071323_0341_D_frame_00004_jpg.rf.c845ced878baef9805efe60e59088256.jpg,train/labels/DJI_20250516071323_0341_D_frame_00004_jpg.rf.c845ced878baef9805efe60e59088256.txt,DJI_20250516071323_0341_D,4,2.0,train,labeled,79,1:17;2:18;3:43;4:1,bbox:5;polygon:74,198e9f6d681de51c32e13360cff16865996ee8a00f868bbbb027b0c0f0737535
4f6be79b15c017e7bedf44f6d5a162d0dd382772cf7b801d31563a675c4ce3df,train/images/DJI_20250516071323_0341_D_frame_00006_jpg.rf.83daeefa9ac494c32502b542855622ea.jpg,train/labels/DJI_20250516071323_0341_D_frame_00006_jpg.rf.83daeefa9ac494c32502b542855622ea.txt,DJI_20250516071323_0341_D,6,3.0,train,labeled,103,1:14;2:40;3:48;4:1,bbox:6;polygon:97,4f6be79b15c017e7bedf44f6d5a162d0dd382772cf7b801d31563a675c4ce3df
69b4e49c8d94abcf1db75bd6dbdfb4fba3eb09a4a7da9c56c38066cea36012dd,train/images/DJI_20250516071323_0341_D_frame_00007_jpg.rf.f51f8500905ff8b43342bb2e028397bb.jpg,train/labels/DJI_20250516071323_0341_D_frame_00007_jpg.rf.f51f8500905ff8b43342bb2e028397bb.txt,DJI_20250516071323_0341_D,7,3.5,train,labeled,91,1:16;2:24;3:50;4:1,bbox:7;polygon:84,69b4e49c8d94abcf1db75bd6dbdfb4fba3eb09a4a7da9c56c38066cea36012dd
949ccc259c2cbc6908c0560f3d2a32e162b3f40fae576229e03c307b241860c8,train/images/DJI_20250516071323_0341_D_frame_00008_jpg.rf.11dc585185c86a27a6738a4fcdb450de.jpg,train/labels/DJI_20250516071323_0341_D_frame_00008_jpg.rf.11dc585185c86a27a6738a4fcdb450de.txt,DJI_20250516071323_0341_D,8,4.0,train,labeled,82,1:18;2:15;3:48;4:1,bbox:6;polygon:76,949ccc259c2cbc6908c0560f3d2a32e162b3f40fae576229e03c307b241860c8
1d553890f15dc1c9871fad2b83f781a028e5a4e28408a98d8f4b3d4889f0846d,train/images/DJI_20250516071323_0341_D_frame_00009_jpg.rf.7c397c8da1e0e34ba6797fe30a6148e8.jpg,train/labels/DJI_20250516071323_0341_D_frame_00009_jpg.rf.7c397c8da1e0e34ba6797fe30a6148e8.txt,DJI_20250516071323_0341_D,9,4.5,train,labeled,73,1:15;2:11;3:46;4:1,bbox:7;polygon:66,1d553890f15dc1c9871fad2b83f781a028e5a4e28408a98d8f4b3d4889f0846d
b8a35ebb484443f70290bfaae2a8fa43b859459d871a70ea6702c760c5762548,train/images/DJI_20250516071323_0341_D_frame_00009_jpg.rf.a88eecf5cc046993d6b13b9c4efe8440.jpg,train/labels/DJI_20250516071323_0341_D_frame_00009_jpg.rf.a88eecf5cc046993d6b13b9c4efe8440.txt,DJI_20250516071323_0341_D,9,4.5,train,labeled,83,1:18;2:20;3:44;4:1,bbox:3;polygon:80,b8a35ebb484443f70290bfaae2a8fa43b859459d871a70ea6702c760c5762548
7f7ceace93b676ad84a7f03d4fed56761ff466b7963178bb9c3b11421023f4c2,train/images/DJI_20250516071323_0341_D_frame_00010_jpg.rf.8475de266ceb5a3b1e0050e6f7cc1f97.jpg,train/labels/DJI_20250516071323_0341_D_frame_00010_jpg.rf.8475de266ceb5a3b1e0050e6f7cc1f97.txt,DJI_20250516071323_0341_D,10,5.0,train,labeled,79,1:15;2:20;3:43;4:1,bbox:7;polygon:72,7f7ceace93b676ad84a7f03d4fed56761ff466b7963178bb9c3b11421023f4c2
