source_id,unique_frame_count,proposed_split,status
04dc922fb27f,294,train,proposal_requires_review
236bc743716f,58,train,proposal_requires_review
370928dba2f0,327,train,proposal_requires_review
56df431311e3,76,calibration,proposal_requires_review
5789f11e3fdf,30,train,proposal_requires_review
64038f6f687f,53,validation,proposal_requires_review
6bbf6dc54a0a,66,validation,proposal_requires_review
86000f5f3f71,35,calibration,proposal_requires_review
9ea18499b805,42,test,proposal_requires_review
a2ebcd5911e6,17,test,proposal_requires_review
b3c5a768c146,88,train,proposal_requires_review
ba0cc572a4ab,128,test,proposal_requires_review
